CNPJ_FUNDO,DENOM_SOCIAL,VL_PATRIM_LIQ
26.000.010/0001-10,PINÁCULO MULTIMERCADO CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,22664979.35
26.089.666/0001-51,INTER SELECTION DEBENT INCENT FIC DE FUNDOS INCENT DE INVEST EM INFRAESTRUT RENDA FIXA CRED PRIV,128509679.43
26.094.770/0001-34,JPMORGAN GLOBAL MACRO OPPORTUNITIES MASTER FI MULTIMERCADO INVESTIMENTO NO EXTERIOR,213779145.62
26.094.788/0001-36,ESTANCIA I FIF MULT CRED PRIV - RESP LIMITADA,34712026.77
26.101.666/0001-20,OPPORTUNITY CAPITAL FUNDO DE INVESTIMENTO EM AÇÕES,1561112835.62
26.101.893/0001-55,CLAVE ALPHA MACRO S FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,17101259.88
26.104.747/0001-83,BANESTES FIC DE FUNDOS INCENTIVADOS DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA CRÉDITO PRIVADO,52336714.47
26.111.809/0001-84,SAFRA FARADAY SPECIAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,201786096.76
26.112.022/0001-37,JPMORGAN GLOBAL INCOME MASTER FUNDO DE INVESTIMENTO MULTIMERCADO INVESTIMENTO NO EXTERIOR,184320712.3
26.112.046/0001-96,JPMORGAN GLOBAL INCOME FIC DE FUNDO DE INVESTIMENTO MULTIMERCADO INVEST NO EXTERIOR CLASSE A,35162506.92
26.123.764/0001-68,KAIRÓS FUNDO DE INVESTIMENTO EM AÇÕES - INVESTIMENTO NO EXTERIOR,3095952246.49
26.123.799/0001-05,DLY FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA,28447007.88
26.123.894/0001-09,PWM AÇÕES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,78595479.35
26.123.906/0001-97,SABESPREV BRASIL PLURAL SOBERANO RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO,352100168.35
26.123.940/0001-61,KUBERA FUNDO DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,26462291.9
26.135.658/0001-02,TAMAR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRED PRIV IE,0.0
26.135.667/0001-95,SAFRA PREV MULTI ESTRATÉGIA VIP M FUNDO DE INVESTIMENTO EM COTAS FI MULTIMERCADO PREVIDENCIÁRIO,3676993.33
26.135.680/0001-44,DA VINCI FUNDO DE INVESTIMENTO EM COTAS MULTIMERCADO CRÉDITO PRIVADO,18097989.68
26.135.690/0001-80,MANAGER PMC INCOME FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO IE,24976935.4
26.142.202/0001-61,BANDEIRANTES FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR LONGO PRAZO,146767847.81
26.142.222/0001-32,RSL FUNDO DE INVESTIMENTO EM COTAS DE FI MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO  EXTERIOR,32023145.03
26.142.614/0001-00,DAYCOVAL DEBÊNTURES INCENTIVADAS CRÉDITO PRIVADO FUNDO DE INVESTIMENTO MULTIMERCADO,53682667.99
26.142.798/0001-08,BB B5C FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO,174584069.46
26.142.839/0001-58,BB JAQG FUNDO DE INVESTIMENTO MULTIMERCADO  CRÉDITO PRIVADO LONGO PRAZO,344155485.71
26.142.982/0001-40,AVO IE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,710940280.95
26.142.998/0001-52,190901 FUNDO DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,1034220860.09
26.143.025/0001-38,CSHG FLAMBOYANT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO - CRÉD PRIV IE,40717509.81
26.143.039/0001-51,190902 FUNDO DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,1035423524.85
26.143.084/0001-06,XPA 1765 FUNDO DE INVESTIMENTO EM COTAS MULTIMERCADO CRÉDITO PRIVADO,1415396.99
26.143.108/0001-27,PRADESH QUALIFICADO PREVIDENCIÁRIO FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,19766791.86
26.143.135/0001-08,G5 POLARIS PREVIDENCIÁRIO ICATU QUALIFICADO FUNDO DE  INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,31315115.78
26.143.147/0001-24,COSTA VERDE PREVIDÊNCIA FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,21173303.28
26.143.171/0001-63,CSHG PREVIDENCIÁRIO KAIZEN FUNDO DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO,31950537.84
26.153.142/0001-82,BB IBIPEBA FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO,58591184.09
26.154.076/0001-65,SAFRA MIX SPECIAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,12546493.64
26.154.129/0001-48,BV CASH RENDA FIXA SIMPLES FUNDO DE INVESTIMENTO,45012078.74
26.154.145/0001-30,CITRINO EQUITY CYCLE FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,77585742.72
26.171.796/0001-39,RB CAPITAL MASTER FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA,108861273.23
26.171.840/0001-00,BRASIL PLURAL MASTER TFO  FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA CREDIT PRIV,145336712.15
26.173.277/0001-00,FUNDO DE INVESTIMENTO LONGEVIDADE CAPEMISA RENDA FIXA- CRÉDITO PRIVADO,27275248.32
26.173.300/0001-66,EXPERTISE MULTIMERCADO FUNDO DE INVESTIMENTO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,14779833.1
26.173.354/0001-21,URUS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO - CRED PRIV IE,24846148.04
26.173.392/0001-84,BACK UP 2 FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,26750129.19
26.173.459/0001-80,VSEIS FUNDO DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,176602987.99
26.173.473/0001-84,UNIFY FUNDO DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,0.0
26.179.360/0001-96,HIGH SAINT FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,18796247.39
26.179.362/0001-85,CSHG ARIES FUNDO DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,10076415.43
26.179.364/0001-74,PHOENIX FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO IE,542559981.07
26.179.528/0001-63,FUNDO DE INVESTIMENTO XAVANTE RENDA FIXA,821600649.49
26.179.544/0001-56,FUNDO DE INVESTIMENTO CAINGANGUE RENDA FIXA,156278526.06
26.179.574/0001-62,190903 FUNDO DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,1034987108.21
26.179.585/0001-42,PRUDENS FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,27770602.71
26.179.592/0001-44,ANPES FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,67640759.02
26.179.627/0001-45,VRB N FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,52417479.43
26.179.640/0001-02,UNIVERSAL G FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,154375645.96
26.179.670/0001-00,SPR FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,16557107.34
26.179.685/0001-79,ITAU ALVORADA ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,84936007.0
26.179.699/0001-92,TYPHOON FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,59949825.16
26.179.720/0001-50,ACAIA II FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,461111109.31
26.180.316/0001-04,NOVUS PREV ADVISORY ICATU FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,29210096.01
26.190.175/0001-00,BB TOP RENDA FIXA BRASIL CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR LP FUNDO DE INVESTIMENTO,44539451.21
26.190.911/0001-12,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO BV TOP GESTOR RENDA FIXA ATIVO LONGO PRAZO,367503276.86
26.190.993/0001-03,BV TOP MULTI ESTILOS AÇÕES FUNDO DE INVESTIMENTO,17108792.33
26.199.425/0001-65,ITAÚ PRIVATE WEALTH RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVEST,145729277.18
26.199.450/0001-49,ITAÚ FLEXPREV PERSONNALITÉ LOW VOL V20 FIF  CIC MULT - RESP LIMITADA,1063788.49
26.199.470/0001-10,ITAÚ FLEXPREV CORPORATE PLATINUM III RV25 FIF CIC MULT - RESP LIMITADA,50000130.82
26.199.482/0001-44,ITAÚ FLEXPREV PLATINUM V FIF CIC RF - RESP LIMITADA,455722030.05
26.199.511/0001-78,CANA FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,87952533.61
26.199.519/0001-34,ITAÚ PRIVILÈGE RENDA FIXA REFERENCIADO DI FUNDO DE INV EM COTAS DE FUNDOS DE INV,53064955674.06
26.199.534/0001-82,TOP 2615 MULTIMERCADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,92247984.44
26.207.725/0001-49,AXIS FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR,42098149.12
26.210.303/0001-22,VOLARE FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA,19219462.66
26.210.319/0001-35,ITAÚ FLEXPREV JURO REAL TARGET 2035 FIF RF - RESP LIMITADA,1119666115.08
26.210.335/0001-28,AMANDOLA 2 FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,53148860.05
26.210.366/0001-89,SÃO GONÇALO FIF CIC MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA,188474771.74
26.210.411/0001-03,CGI FALCON FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES,93988235.37
26.210.471/0001-18,SPX NIMITZ AB FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,156221822.37
26.210.481/0001-53,F35 LIGHTNING FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,52001951.32
26.210.494/0001-22,CLAVE ALPHA MACRO RED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,100596207.39
26.210.505/0001-74,TRUXT I LONG BIAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,99992269.53
26.217.266/0001-84,BB GC4 FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO,121189697.13
26.218.376/0001-60,PORTO SEGURO PREVIDÊNCIA PRIVADA RENDA FIXA BENEFÍCIO CONCEDIDO FUNDO DE INVESTIMENTO,19016630.95
26.218.389/0001-30,RAPTOR L FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO IE,1177518257.79
26.218.403/0001-03,KINEA ATLAS FUNDO DE INVESTIMENTO MULTIMERCADO,1038924946.06
26.218.419/0001-08,CGI R INVESTIMENTO NO EXTERIOR FDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULT CRED PRIV,93172283.23
26.218.435/0001-09,KINEA PREV XTR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,287609775.12
26.218.447/0001-25,KINEA PREV RENDA FIXA ATIVO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,3655280911.91
26.218.464/0001-62,NIGHTHAWK FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES,134015326.31
26.218.497/0001-02,KINEA PREV RENDA FIXA ATIVO FUNDO DE INVESTIMENTO,5099898100.26
26.218.508/0001-54,ADAM EXCLUSIVO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,16573433.79
26.218.588/0001-48,ITAÚ ALVORADA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,59738633.77
26.218.614/0001-38,NEO NAVITAS B FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES,96161096.69
26.218.634/0001-09,KINEA PREV XTR MULTIMERCADO FUNDO DE INVESTIMENTO,1206775676.82
26.229.202/0001-01,SANTANDER PB MADU MULT CRED PRIV FC FI,12635867.47
26.243.288/0001-19,BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FI MULTIMERCADO CRÉDITO PRIVADO IE ML,0.0
26.243.293/0001-21,COSTA AMALFITANA FDO DE INV EM COTAS DE FI MULTIMERCADO CREDITO PRIVADO IE,0.0
26.243.306/0001-62,SANTANDER PB PINGOS MULT CRÉD PRIV FI,130198895.14
26.243.316/0001-06,SANTANDER PB KATA MULT CRÉD PRIV FI,80976436.28
26.243.325/0001-99,SANTANDER PB OSTRES MULT CRÉD PRIV FI,132106776.64
26.243.331/0001-46,SANTANDER PB FLU MULTIMERCADO CRÉDITO PRIVADO FUNDO DE INVESTIMENTO,98878396.53
26.243.339/0001-02,BRADESCO FIC DE FI MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR VINHEDO INVESTIMENTOS,21102972.28
26.243.348/0001-01,IBIUNA EQUITIES 30 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES,102068284.5
26.243.385/0001-01,PEMALE FUNDO DE INVESTIMENTO EM COTAS DE FI MULTIMERCADO CRÉDITO PRIVADO IE,22866512.75
26.243.395/0001-47,MOS FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,72051828.73
26.243.403/0001-55,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO BVP XXII,28092146.85
26.243.411/0001-00,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA MCV,156394887.98
26.243.418/0001-13,FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO PI XII,67294332.71
26.243.449/0001-74,ENERGIA IV FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO,504862065.2
26.243.468/0001-09,COLLEGATO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO IE,14216676.91
26.243.499/0001-51,EQX FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,41639039.96
26.243.520/0001-19,MP INVESTMENTS FIC FI MULTIMERCADO CRÉDITO PRIVADO IE,51583305.97
26.253.875/0001-99,FUNDO DE INVESTIMENTO RENDA FIXA RIO GRANDE DO SUL,435588994.5
26.253.883/0001-35,G5 SUMMER FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR,94404282.04
26.253.887/0001-13,KGD FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,38485668.36
26.253.895/0001-60,FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI RESERVA ESTRATÉGICA,438551356.93
26.253.900/0001-34,INSIGHTS FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR,244765637.83
26.253.910/0001-70,SANTANDER NORONHA FUNDO DE INVESTIMENTO RENDA FIXA,1159986883.76
26.261.403/0001-88,MAM BERLIM FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO CRÉDITO PRIVADO,117654583.45
26.261.488/0001-02,TRUXT MACRO ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,71982359.21
26.261.535/0001-00,ITAÚ ALVORADA JS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,2586809.67
26.262.340/0001-84,LAMBDA DINÂMICO FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,29188425.63
26.262.363/0001-99,TRUXT LONG SHORT ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,32164002.17
26.262.377/0001-02,TRUXT I LONG SHORT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,14055433.47
26.262.448/0001-77,VIC TRUXT LONG SHORT FIC DE FUNDOS DE INVESTIMENTO MULTIMERCADO,18976159.18
26.262.457/0001-68,LA FINANZIERA DINÂMICO FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,27064943.34
26.262.499/0001-07,GARDE D´ARTAGNAN SELEÇÃO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,41905630.0
26.262.507/0001-07,VÉRTICE VERDE 60 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1136453270.32
26.262.541/0001-81,ITAÚ VÉRTICE RENDA FIXA PRÉ IDKA 3 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,41349958.91
26.262.556/0001-40,PORTO SAN GIORGIO FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,11424395.49
26.262.571/0001-98,ITAÚ MULTIMERCADO CRÉDITO PRIVADO ACTIVE FIX PLUS FICFI,210274656.29
26.262.593/0001-58,KIKO 2 MULTIMERCADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,52634430.04
26.262.602/0001-00,ITAÚ MASTER SHORT IBOVESPA 2X FUNDO DE INVESTIMENTO MULTIMERCADO,43906861.53
26.262.610/0001-57,051 TRIMARÃ FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO IE,399962212.41
26.268.345/0001-14,FHC RV FUNDO DE INVESTIMENTO EM AÇÕES,113562594.48
26.269.540/0001-69,VIC TRUXT MACRO FIC DE FUNDOS DE INVESTIMENTO MULTIMERCADO,457946.62
26.269.590/0001-46,FPRV ATMOS CURIÓ FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES,225145717.34
26.269.603/0001-87,TRUXT I VALOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES,478613752.0
26.269.611/0001-23,TRUXT II LONG BIAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,374629380.68
26.269.634/0001-38,TRUXT S LONG SHORT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3868973.06
26.269.692/0001-61,ITAÚ PRIVATE MULTIMERCADO S&P500® BRL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,1434110815.63
26.269.698/0001-39,ITAÚ MULTIMERCADO INDEX S&P500® FUNDO DE INVESTIMENTO,1681452259.07
26.269.884/0001-78,PALMELA MULTIMERCADO FUNDO DE INVESTIMENTO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,39507141.88
26.269.949/0001-85,KIKO 3 MULTIMERCADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,67139927.46
26.269.954/0001-98,GARDE D'ARTAGNAN PVT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,20687857.68
26.269.965/0001-78,MAJOR FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA,2202879.72
26.269.983/0001-50,ITAÚ GLOBAL DINÂMICO PLUS MULTIMERCADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,1961520793.09
26.270.366/0001-74,SZS FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO DE INVESTIMENTO NO EXTERIOR,117147072.84
26.271.649/0001-30,MARE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,306398208.46
26.277.587/0001-74,TRUXT S MACRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,9430606.5
26.277.595/0001-10,TRUXT I VALOR INSTITUCIONAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES,373622174.1
26.277.600/0001-95,TRUXT I MACRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,106090208.46
26.277.700/0001-11,VVALE DA PROVIDÊNCIA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDPRIV - RESP LIMITADA,70135809.21
26.277.704/0001-08,MRPF FIF DA CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA,16053259.46
26.277.719/0001-68,RLMA FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,10328567.49
26.277.746/0001-30,JGP EQUITY EXPLORER 30 SELEÇÃO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES,47471633.43
26.277.768/0001-09,ITAÚ FLEXPREV PLATINUM VI FIF CIC RF - RESP LIMITADA,60323129.99
26.277.781/0001-50,ITAÚ JGA FIF DA CLASSE DE INVESTIMENTO EM COTAS MULT CRÉD PRIV - RESPONSABILIDADE LIMITADA,81454397.14
26.277.887/0001-53,WHG MARLIN II RV FUNDO DE INVESTIMENTO EM AÇÕES,138764288.21
26.304.143/0001-80,CARDOS FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA,115600214.93
26.305.892/0001-22,SAFRA MAXWELL MACRO FUNDO DE INVESTIMENTO EM COTAS DE FI MULTIMERCADO,144838276.9
26.305.927/0001-23,SAFRA PREV ANT MAX FIC FI MULTIMERCADO CP PREVIDENCIÁRIO,31376613.71
26.313.371/0001-17,CLARITAS UNIMEDVX FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO CRÉDITO PRIVADO,60729353.67
26.313.391/0001-98,PW2 FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,147935176.35
26.315.478/0001-02,G5 GRANDE PRAIRIE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,14805516.62
26.315.483/0001-07,BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA PREV+,13723309.55
26.315.491/0001-53,TIJUCO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR,97171864.61
26.315.508/0001-72,ROPREV FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,377279320.94
26.315.514/0001-20,LELULO FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,18407479.86
26.315.539/0001-23,BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES ESTRATÉGIA IBOVESPA ATIVO,184930701.19
26.315.550/0001-93,BRADESCO PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES LONG ONLY,37003889.5
26.322.159/0001-16,JMP MANAGER FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO EXTERIOR,130285334.56
26.322.175/0001-09,BCM FI MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,14904043.99
26.322.176/0001-53,TRAVIATTA FI MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,23171941.9
26.323.079/0001-85,AZ QUEST MULTI MAX FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,243265414.37
26.323.943/0001-49,ITAÚ MANAGED PORTFOLIO 3 II FUNDO DE INV EM COTAS DE FUNDOS DE INV MULTIMERCADO,974011253.73
26.324.014/0001-54,DODORADO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA,20494406.08
26.324.027/0001-23,ITAÚ FLEXPREV ROSA AMARELA FUNDO DE INVESTIMENTO FINANCEIRO DA CIC MULT CRÉD PRIV RESP LIMITADA,50739159.4
26.324.086/0001-00,ADAM EXCLUSIVO SELEÇÃO MULTIMERCADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,13537027.18
26.324.098/0001-26,ADAM EXCLUSIVO PVT MULTIMERCADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,3744823.11
26.324.200/0001-93,JALFO FUNDO DE INVESTIMENTO MULTIMERCADO,15275979.86
26.324.205/0001-16,ORYPABA FUNDO DE INVESTIMENTO MULTIMERCADO,10105170.73
26.324.209/0001-02,NEO PROVECTUS I FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,859072348.63
26.324.227/0001-86,TRUXT II VALOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES,114017195.16
26.324.249/0001-46,TRUXT MACRO AB FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,5931752.31
26.324.259/0001-81,TRUXT LONG SHORT AB FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,24007520.29
